"Designator","Comment","Footprint","Other"
"D9, ","GREEN LED","LED_THT:LED_D3.0mm","https://www.amazon.com/dp/B077J2WJRS/"
"D10, ","YELLOW LED","LED_THT:LED_D3.0mm","https://www.amazon.com/dp/B077J2WJRS/"
"D11, ","RED LED","LED_THT:LED_D3.0mm","https://www.amazon.com/dp/B077J2WJRS/"
"D12, ","BLUE LED","LED_THT:LED_D3.0mm","https://www.amazon.com/dp/B077J2WJRS/"
"J1, J2, J3, J4, ","Thonk 3.5mm Jack","greenface:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","https://synthcube.com/cart/3.5mm-audio-jacks"
