Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical",47.460000,-63.300000,90.000000,top
"J2","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical",47.460000,-90.490000,90.000000,top
"J3","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical",47.460000,-117.610000,90.000000,top
"J4","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical",47.380000,-144.550000,90.000000,top
